HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
77,CA- SACRAMENTO,91.69,271,240,350,82.4,114.32,271 [240 - 350],91.69% [82.4% - 114.32%],05-18-2020
78,CA- SALINAS,90.72,42,38,54,82.27,113.29,42 [38 - 54],90.72% [82.27% - 113.29%],05-18-2020
79,CA- SAN BERNARDINO,88.05,231,206,310,81.85,105.98,231 [206 - 310],88.05% [81.85% - 105.98%],05-18-2020
80,CA- SAN DIEGO,89.31,320,284,422,81.98,109.11,320 [284 - 422],89.31% [81.98% - 109.11%],05-18-2020
81,CA- SAN FRANCISCO,87.33,175,155,220,81.66,99.71,175 [155 - 220],87.33% [81.66% - 99.71%],05-18-2020
82,CA- SAN JOSE,95.09,214,190,268,83.37,120.15,214 [190 - 268],95.09% [83.37% - 120.15%],05-18-2020
83,CA- SAN LUIS OBISPO,88.67,14,13,21,81.97,110.04,14 [13 - 21],88.67% [81.97% - 110.04%],05-18-2020
85,CA- SAN MATEO CO.,88.31,102,91,129,81.93,102.0,102 [91 - 129],88.31% [81.93% - 102.0%],05-18-2020
86,CA- SANTA BARBARA,86.45,28,25,40,81.04,102.98,28 [25 - 40],86.45% [81.04% - 102.98%],05-18-2020
87,CA- SANTA CRUZ,98.98,29,25,38,83.34,134.04,29 [25 - 38],98.98% [83.34% - 134.04%],05-18-2020
89,CA- SANTA ROSA,86.48,55,49,71,81.4,98.38,55 [49 - 71],86.48% [81.4% - 98.38%],05-18-2020
91,CA- STOCKTON,93.2,63,56,83,82.63,118.57,63 [56 - 83],93.2% [82.63% - 118.57%],05-18-2020
96,CA- VENTURA,87.92,56,50,78,81.91,106.13,56 [50 - 78],87.92% [81.91% - 106.13%],05-18-2020
101,CO- BOULDER,97.59,35,33,47,86.53,131.37,35 [33 - 47],97.59% [86.53% - 131.37%],05-18-2020
102,CO- COLORADO SPRINGS,96.18,79,71,108,85.12,132.85,79 [71 - 108],96.18% [85.12% - 132.85%],05-18-2020
103,CO- DENVER,95.9,364,330,470,85.4,126.87,364 [330 - 470],95.9% [85.4% - 126.87%],05-18-2020
104,CO- FORT COLLINS,90.4,28,26,37,83.91,110.2,28 [26 - 37],90.4% [83.91% - 110.2%],05-18-2020
105,CO- GRAND JUNCTION,90.32,35,32,46,82.53,110.81,35 [32 - 46],90.32% [82.53% - 110.81%],05-18-2020
106,CO- GREELEY,91.49,42,38,55,83.73,115.01,42 [38 - 55],91.49% [83.73% - 115.01%],05-18-2020
