HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
69,CA- PALM SPR/RANCHO MIR.,84.76,23,21,33,81.71,96.24,23 [21 - 33],84.76% [81.71% - 96.24%],05-12-2020
73,CA- REDDING,84.47,21,19,33,81.02,97.56,21 [19 - 33],84.47% [81.02% - 97.56%],05-12-2020
77,CA- SACRAMENTO,92.32,303,273,407,83.93,119.49,303 [273 - 407],92.32% [83.93% - 119.49%],05-12-2020
78,CA- SALINAS,91.22,42,39,60,83.66,117.83,42 [39 - 60],91.22% [83.66% - 117.83%],05-12-2020
79,CA- SAN BERNARDINO,88.12,249,225,345,82.96,107.78,249 [225 - 345],88.12% [82.96% - 107.78%],05-12-2020
80,CA- SAN DIEGO,89.48,353,319,485,83.24,112.52,353 [319 - 485],89.48% [83.24% - 112.52%],05-12-2020
81,CA- SAN FRANCISCO,88.1,209,190,271,82.84,104.29,209 [190 - 271],88.1% [82.84% - 104.29%],05-12-2020
82,CA- SAN JOSE,96.74,257,233,332,85.85,129.97,257 [233 - 332],96.74% [85.85% - 129.97%],05-12-2020
83,CA- SAN LUIS OBISPO,89.26,21,19,30,82.41,113.11,21 [19 - 30],89.26% [82.41% - 113.11%],05-12-2020
85,CA- SAN MATEO CO.,89.17,122,111,159,83.23,107.26,122 [111 - 159],89.17% [83.23% - 107.26%],05-12-2020
86,CA- SANTA BARBARA,86.85,30,27,45,82.48,104.95,30 [27 - 45],86.85% [82.48% - 104.95%],05-12-2020
87,CA- SANTA CRUZ,100.69,35,32,48,86.96,144.62,35 [32 - 48],100.69% [86.96% - 144.62%],05-12-2020
89,CA- SANTA ROSA,86.95,61,56,83,82.42,101.98,61 [56 - 83],86.95% [82.42% - 101.98%],05-12-2020
91,CA- STOCKTON,94.12,73,66,99,84.52,124.78,73 [66 - 99],94.12% [84.52% - 124.78%],05-12-2020
96,CA- VENTURA,88.15,66,60,93,82.92,108.42,66 [60 - 93],88.15% [82.92% - 108.42%],05-12-2020
101,CO- BOULDER,106.51,63,58,75,90.11,140.84,63 [58 - 75],106.51% [90.11% - 140.84%],05-12-2020
102,CO- COLORADO SPRINGS,103.63,124,113,154,87.92,140.48,124 [113 - 154],103.63% [87.92% - 140.48%],05-12-2020
103,CO- DENVER,104.69,595,540,708,88.96,136.0,595 [540 - 708],104.69% [88.96% - 136.0%],05-12-2020
104,CO- FORT COLLINS,94.83,46,42,56,85.79,114.9,46 [42 - 56],94.83% [85.79% - 114.9%],05-12-2020
105,CO- GRAND JUNCTION,98.07,68,62,79,86.31,117.25,68 [62 - 79],98.07% [86.31% - 117.25%],05-12-2020
106,CO- GREELEY,97.17,67,61,81,85.92,120.28,67 [61 - 81],97.17% [85.92% - 120.28%],05-12-2020
107,CO- PUEBLO,84.75,15,13,21,81.13,92.91,15 [13 - 21],84.75% [81.13% - 92.91%],05-12-2020
109,CT- BRIDGEPORT,95.05,126,114,145,84.48,110.44,126 [114 - 145],95.05% [84.48% - 110.44%],05-12-2020
110,CT- HARTFORD,91.81,198,176,245,82.61,109.58,198 [176 - 245],91.81% [82.61% - 109.58%],05-12-2020
111,CT- NEW HAVEN,91.46,223,199,267,83.06,106.97,223 [199 - 267],91.46% [83.06% - 106.97%],05-12-2020
112,DE- WILMINGTON,93.59,130,121,150,86.5,106.21,130 [121 - 150],93.59% [86.5% - 106.21%],05-12-2020
113,DC- WASHINGTON,130.84,1487,1383,1671,106.94,173.51,1487 [1383 - 1671],130.84% [106.94% - 173.51%],05-12-2020
115,FL- BRADENTON,85.27,14,13,20,81.83,94.53,14 [13 - 20],85.27% [81.83% - 94.53%],05-12-2020
116,FL- CLEARWATER,83.33,28,26,36,81.47,89.35,28 [26 - 36],83.33% [81.47% - 89.35%],05-12-2020
