HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
394,TX- FORT WORTH,102.39,576,517,691,87.21,132.69,576 [517 - 691],102.39% [87.21% - 132.69%],1121,361,2638,05-18-2020
396,TX- HARLINGEN,87.31,52,46,68,81.83,100.94,52 [46 - 68],87.31% [81.83% - 100.94%],103,26,297,05-18-2020
397,TX- HOUSTON,97.3,1611,1441,1954,85.65,120.61,1611 [1441 - 1954],97.3% [85.65% - 120.61%],2951,964,6931,05-18-2020
399,TX- LONGVIEW,89.05,30,26,39,81.9,105.95,30 [26 - 39],89.05% [81.9% - 105.95%],62,13,178,05-18-2020
400,TX- LUBBOCK,86.35,79,70,107,81.21,100.21,79 [70 - 107],86.35% [81.21% - 100.21%],151,29,483,05-18-2020
402,TX- MCALLEN,86.99,57,51,75,81.7,99.74,57 [51 - 75],86.99% [81.7% - 99.74%],110,27,313,05-18-2020
406,TX- ODESSA,84.53,28,26,40,81.47,94.86,28 [26 - 40],84.53% [81.47% - 94.86%],58,19,192,05-18-2020
411,TX- SAN ANGELO,82.77,7,6,11,80.0,88.44,7 [6 - 11],82.77% [80.0% - 88.44%],19,0,58,05-18-2020
412,TX- SAN ANTONIO,108.89,1035,933,1195,89.12,139.59,1035 [933 - 1195],108.89% [89.12% - 139.59%],2090,660,4312,05-18-2020
413,TX- TEMPLE,104.1,115,103,142,86.39,140.28,115 [103 - 142],104.1% [86.39% - 140.28%],226,60,566,05-18-2020
416,TX- TYLER,93.29,108,96,134,82.93,113.67,108 [96 - 134],93.29% [82.93% - 113.67%],213,47,540,05-18-2020
417,TX- VICTORIA,86.75,21,19,29,81.17,97.47,21 [19 - 29],86.75% [81.17% - 97.47%],51,9,134,05-18-2020
418,TX- WACO,109.72,84,76,102,88.04,147.5,84 [76 - 102],109.72% [88.04% - 147.5%],177,48,403,05-18-2020
420,TX- WICHITA FALLS,87.72,28,25,37,81.3,104.64,28 [25 - 37],87.72% [81.3% - 104.64%],53,9,170,05-18-2020
421,UT- OGDEN,86.17,21,20,28,82.05,100.14,21 [20 - 28],86.17% [82.05% - 100.14%],45,15,147,05-18-2020
422,UT- PROVO,85.8,21,20,30,81.88,99.62,21 [20 - 30],85.8% [81.88% - 99.62%],52,17,177,05-18-2020
423,UT- SALT LAKE CITY,83.73,69,63,97,81.27,93.09,69 [63 - 97],83.73% [81.27% - 93.09%],147,50,517,05-18-2020
424,VT- BURLINGTON,80.62,0,0,10,80.0,88.71,0 [0 - 10],80.62% [80.0% - 88.71%],9,0,138,05-18-2020
426,VA- ARLINGTON,155.46,1111,1021,1323,114.43,256.11,1111 [1021 - 1323],155.46% [114.43% - 256.11%],2182,996,5095,05-18-2020
427,VA- CHARLOTTESVILLE,96.45,116,103,180,82.99,150.49,116 [103 - 180],96.45% [82.99% - 150.49%],230,42,989,05-18-2020
428,VA- LYNCHBURG,87.81,28,24,44,80.0,110.98,28 [24 - 44],87.81% [80.0% - 110.98%],58,0,233,05-18-2020
429,VA- NEWPORT NEWS,109.82,168,152,244,89.66,198.0,168 [152 - 244],109.82% [89.66% - 198.0%],339,110,1344,05-18-2020
430,VA- NORFOLK,104.16,334,300,484,87.91,173.98,334 [300 - 484],104.16% [87.91% - 173.98%],653,214,2544,05-18-2020
431,VA- RICHMOND,102.39,531,473,746,85.94,161.28,531 [473 - 746],102.39% [85.94% - 161.28%],1052,279,3820,05-18-2020
432,VA- ROANOKE,82.82,40,34,70,80.0,95.53,40 [34 - 70],82.82% [80.0% - 95.53%],78,0,434,05-18-2020
435,VA- WINCHESTER,97.6,85,77,110,86.75,134.45,85 [77 - 110],97.6% [86.75% - 134.45%],164,63,508,05-18-2020
437,WA- EVERETT,113.57,120,108,136,91.45,143.09,120 [108 - 136],113.57% [91.45% - 143.09%],275,94,518,05-18-2020
438,WA- OLYMPIA,105.4,76,69,91,88.3,136.3,76 [69 - 91],105.4% [88.3% - 136.3%],171,56,380,05-18-2020
439,WA- SEATTLE,101.23,516,466,596,87.62,122.16,516 [466 - 596],101.23% [87.62% - 122.16%],1155,415,2295,05-18-2020
440,WA- SPOKANE,88.52,152,136,193,82.05,103.73,152 [136 - 193],88.52% [82.05% - 103.73%],320,77,892,05-18-2020
441,WA- TACOMA,108.98,158,143,183,90.11,137.86,158 [143 - 183],108.98% [90.11% - 137.86%],355,124,710,05-18-2020
442,WA- YAKIMA,94.5,35,32,46,84.32,119.55,35 [32 - 46],94.5% [84.32% - 119.55%],83,25,229,05-18-2020
443,WV- CHARLESTON,80.0,0,0,0,80.0,80.41,0 [0 - 0],80.0% [80.0% - 80.41%],0,0,10,05-18-2020
444,WV- HUNTINGTON,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,05-18-2020
445,WV- MORGANTOWN,80.0,0,0,1,80.0,81.53,0 [0 - 1],80.0% [80.0% - 81.53%],0,0,27,05-18-2020
446,WI- APPLETON,88.45,21,19,31,81.62,107.07,21 [19 - 31],88.45% [81.62% - 107.07%],52,10,167,05-18-2020
447,WI- GREEN BAY,84.09,33,30,44,80.94,92.87,33 [30 - 44],84.09% [80.94% - 92.87%],65,15,206,05-18-2020
448,WI- LA CROSSE,87.15,35,32,45,81.47,100.52,35 [32 - 45],87.15% [81.47% - 100.52%],68,14,196,05-18-2020
449,WI- MADISON,90.81,161,145,195,83.22,106.52,161 [145 - 195],90.81% [83.22% - 106.52%],325,97,798,05-18-2020
450,WI- MARSHFIELD,83.02,17,15,25,80.08,91.21,17 [15 - 25],83.02% [80.08% - 91.21%],35,1,132,05-18-2020
451,WI- MILWAUKEE,91.83,484,439,575,84.21,107.25,484 [439 - 575],91.83% [84.21% - 107.25%],976,347,2248,05-18-2020
452,WI- NEENAH,89.27,21,19,29,81.97,105.81,21 [19 - 29],89.27% [81.97% - 105.81%],51,11,144,05-18-2020
456,WI- WAUSAU,81.86,0,0,4,80.53,89.03,0 [0 - 4],81.86% [80.53% - 89.03%],10,3,51,05-18-2020
457,WY- CASPER,81.43,0,0,2,80.0,83.85,0 [0 - 2],81.43% [80.0% - 83.85%],9,0,27,05-18-2020
303,NY- NEW YORK,87.37,502,447,626,82.3,98.85,502 [447 - 626],87.37% [82.3% - 98.85%],1146,357,2930,05-18-2020
