HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
256,MN- ST PAUL,86.3,140,128,176,82.45,95.75,140 [128 - 176],86.3% [82.45% - 95.75%],143,56,360,05-26-2020
257,MS- GULFPORT,88.02,57,52,68,83.1,96.43,57 [52 - 68],88.02% [83.1% - 96.43%],61,24,127,05-26-2020
258,MS- HATTIESBURG,86.55,76,67,89,81.49,92.81,76 [67 - 89],86.55% [81.49% - 92.81%],79,18,155,05-26-2020
259,MS- JACKSON,85.36,236,209,286,81.41,92.01,236 [209 - 286],85.36% [81.41% - 92.01%],239,63,538,05-26-2020
260,MS- MERIDIAN,81.4,11,9,16,80.1,84.7,11 [9 - 16],81.4% [80.1% - 84.7%],13,1,46,05-26-2020
261,MS- OXFORD,83.95,22,20,29,80.78,90.03,22 [20 - 29],83.95% [80.78% - 90.03%],25,5,64,05-26-2020
262,MS- TUPELO,84.0,62,55,77,80.74,89.14,62 [55 - 77],84.0% [80.74% - 89.14%],65,12,149,05-26-2020
263,MO- CAPE GIRARDEAU,80.0,0,0,0,80.0,80.1,0 [0 - 0],80.0% [80.0% - 80.1%],0,0,1,05-26-2020
264,MO- COLUMBIA,80.07,0,0,2,80.0,80.49,0 [0 - 2],80.07% [80.0% - 80.49%],1,0,9,05-26-2020
267,MO- JOPLIN,80.0,0,0,1,80.0,80.31,0 [0 - 1],80.0% [80.0% - 80.31%],0,0,3,05-26-2020
268,MO- KANSAS CITY,81.03,79,70,97,80.28,82.38,79 [70 - 97],81.03% [80.28% - 82.38%],81,22,189,05-26-2020
270,MO- SPRINGFIELD,80.33,0,0,2,80.0,80.92,0 [0 - 2],80.33% [80.0% - 80.92%],6,0,18,05-26-2020
273,MO- ST LOUIS,80.39,44,42,58,80.21,81.15,44 [42 - 58],80.39% [80.21% - 81.15%],48,26,140,05-26-2020
274,MT- BILLINGS,80.42,7,6,9,80.0,81.04,7 [6 - 9],80.42% [80.0% - 81.04%],9,0,23,05-26-2020
275,MT- GREAT FALLS,80.01,0,0,0,80.0,80.25,0 [0 - 0],80.01% [80.0% - 80.25%],0,0,2,05-26-2020
276,MT- MISSOULA,80.25,0,0,1,80.0,80.95,0 [0 - 1],80.25% [80.0% - 80.95%],2,0,11,05-26-2020
277,NE- LINCOLN,83.46,59,52,75,80.87,89.15,59 [52 - 75],83.46% [80.87% - 89.15%],63,16,168,05-26-2020
278,NE- OMAHA,85.43,293,263,334,81.77,90.57,293 [263 - 334],85.43% [81.77% - 90.57%],297,97,578,05-26-2020
279,NV- LAS VEGAS,85.56,224,205,277,82.4,93.77,224 [205 - 277],85.56% [82.4% - 93.77%],226,98,562,05-26-2020
280,NV- RENO,83.64,67,60,87,80.88,89.89,67 [60 - 87],83.64% [80.88% - 89.89%],69,17,190,05-26-2020
281,NH- LEBANON,81.48,14,13,18,80.1,84.22,14 [13 - 18],81.48% [80.1% - 84.22%],14,1,41,05-26-2020
282,NH- MANCHESTER,81.8,34,31,42,80.61,84.2,34 [31 - 42],81.8% [80.61% - 84.2%],35,12,83,05-26-2020
283,NJ- CAMDEN,81.36,105,95,137,80.43,83.96,105 [95 - 137],81.36% [80.43% - 83.96%],108,34,316,05-26-2020
284,NJ- HACKENSACK,83.14,115,105,138,81.13,87.29,115 [105 - 138],83.14% [81.13% - 87.29%],117,42,272,05-26-2020
285,NJ- MORRISTOWN,83.6,64,58,82,81.3,89.7,64 [58 - 82],83.6% [81.3% - 89.7%],69,25,187,05-26-2020
288,NJ- NEW BRUNSWICK,82.31,63,58,79,80.87,86.4,63 [58 - 79],82.31% [80.87% - 86.4%],64,24,177,05-26-2020
289,NJ- NEWARK,82.24,106,96,131,80.8,85.68,106 [96 - 131],82.24% [80.8% - 85.68%],109,39,276,05-26-2020
291,NJ- PATERSON,82.24,22,20,29,80.85,86.2,22 [20 - 29],82.24% [80.85% - 86.2%],26,10,73,05-26-2020
292,NJ- RIDGEWOOD,87.36,53,48,65,82.53,97.68,53 [48 - 65],87.36% [82.53% - 97.68%],58,20,140,05-26-2020
