HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
127,FL- MIAMI,92.65,1249,1123,1336,83.74,98.71,1249 [1123 - 1336],92.65% [83.74% - 98.71%],1363,403,2017,06-30-2020
129,FL- OCALA,96.45,223,200,238,84.97,103.68,223 [200 - 238],96.45% [84.97% - 103.68%],225,68,324,06-30-2020
130,FL- ORLANDO,96.37,1592,1421,1700,84.2,104.38,1592 [1421 - 1700],96.37% [84.2% - 104.38%],1696,435,2526,06-30-2020
131,FL- ORMOND BEACH,89.85,161,144,172,83.02,94.33,161 [144 - 172],89.85% [83.02% - 94.33%],162,50,237,06-30-2020
133,FL- PANAMA CITY,95.5,98,89,105,84.52,101.99,98 [89 - 105],95.5% [84.52% - 101.99%],102,30,146,06-30-2020
134,FL- PENSACOLA,93.25,307,276,327,84.47,98.94,307 [276 - 327],93.25% [84.47% - 98.94%],311,105,445,06-30-2020
137,FL- SARASOTA,91.98,169,151,181,83.53,97.44,169 [151 - 181],91.98% [83.53% - 97.44%],173,51,252,06-30-2020
139,FL- ST PETERSBURG,90.44,162,146,174,83.32,95.08,162 [146 - 174],90.44% [83.32% - 95.08%],166,53,241,06-30-2020
140,FL- TALLAHASSEE,89.1,241,219,256,83.67,92.75,241 [219 - 256],89.1% [83.67% - 92.75%],245,99,344,06-30-2020
141,FL- TAMPA,94.25,603,540,644,84.67,100.52,603 [540 - 644],94.25% [84.67% - 100.52%],606,199,874,06-30-2020
142,GA- ALBANY,81.76,15,14,17,80.75,82.73,15 [14 - 17],81.76% [80.75% - 82.73%],18,8,29,06-30-2020
144,GA- ATLANTA,86.15,734,682,787,83.29,89.07,734 [682 - 787],86.15% [83.29% - 89.07%],736,394,1086,06-30-2020
