HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
78,CA- SALINAS,91.74,89,78,115,82.27,114.17,89 [78 - 115],91.74% [82.27% - 114.17%],05-18-2020
79,CA- SAN BERNARDINO,89.3,534,470,716,81.99,109.85,534 [470 - 716],89.3% [81.99% - 109.85%],05-18-2020
80,CA- SAN DIEGO,90.2,714,628,938,82.1,111.47,714 [628 - 938],90.2% [82.1% - 111.47%],05-18-2020
81,CA- SAN FRANCISCO,87.37,372,330,452,81.66,98.33,372 [330 - 452],87.37% [81.66% - 98.33%],05-18-2020
82,CA- SAN JOSE,95.09,453,402,548,83.4,116.88,453 [402 - 548],95.09% [83.4% - 116.88%],05-18-2020
83,CA- SAN LUIS OBISPO,89.68,39,35,54,81.97,111.8,39 [35 - 54],89.68% [81.97% - 111.8%],05-18-2020
85,CA- SAN MATEO CO.,88.25,220,195,267,81.85,100.18,220 [195 - 267],88.25% [81.85% - 100.18%],05-18-2020
86,CA- SANTA BARBARA,87.65,72,64,99,81.55,105.78,72 [64 - 99],87.65% [81.55% - 105.78%],05-18-2020
87,CA- SANTA CRUZ,99.5,66,59,83,84.18,132.09,66 [59 - 83],99.5% [84.18% - 132.09%],05-18-2020
89,CA- SANTA ROSA,86.68,121,107,151,81.29,97.79,121 [107 - 151],86.68% [81.29% - 97.79%],05-18-2020
91,CA- STOCKTON,93.85,144,127,183,82.63,118.66,144 [127 - 183],93.85% [82.63% - 118.66%],05-18-2020
96,CA- VENTURA,89.17,140,123,188,81.84,109.43,140 [123 - 188],89.17% [81.84% - 109.43%],05-18-2020
101,CO- BOULDER,97.93,80,73,102,86.53,128.42,80 [73 - 102],97.93% [86.53% - 128.42%],05-18-2020
102,CO- COLORADO SPRINGS,97.2,174,157,231,85.51,134.4,174 [157 - 231],97.2% [85.51% - 134.4%],05-18-2020
103,CO- DENVER,96.61,790,712,984,85.59,124.76,790 [712 - 984],96.61% [85.59% - 124.76%],05-18-2020
104,CO- FORT COLLINS,90.92,67,61,85,83.91,110.36,67 [61 - 85],90.92% [83.91% - 110.36%],05-18-2020
105,CO- GRAND JUNCTION,90.15,77,70,97,82.65,107.02,77 [70 - 97],90.15% [82.65% - 107.02%],05-18-2020
106,CO- GREELEY,91.88,90,81,116,83.73,114.11,90 [81 - 116],91.88% [83.73% - 114.11%],05-18-2020
107,CO- PUEBLO,83.27,23,20,36,80.5,94.41,23 [20 - 36],83.27% [80.5% - 94.41%],05-18-2020
109,CT- BRIDGEPORT,90.4,171,155,206,83.6,103.95,171 [155 - 206],90.4% [83.6% - 103.95%],05-18-2020
110,CT- HARTFORD,89.93,318,290,412,83.81,108.96,318 [290 - 412],89.93% [83.81% - 108.96%],05-18-2020
111,CT- NEW HAVEN,88.64,327,296,416,82.86,104.33,327 [296 - 416],88.64% [82.86% - 104.33%],05-18-2020
112,DE- WILMINGTON,89.44,173,158,204,83.92,100.46,173 [158 - 204],89.44% [83.92% - 100.46%],05-18-2020
113,DC- WASHINGTON,116.26,2274,2109,2604,98.97,156.17,2274 [2109 - 2604],116.26% [98.97% - 156.17%],05-18-2020
115,FL- BRADENTON,90.36,71,63,88,82.4,106.23,71 [63 - 88],90.36% [82.4% - 106.23%],05-18-2020
116,FL- CLEARWATER,86.84,108,96,135,81.59,97.29,108 [96 - 135],86.84% [81.59% - 97.29%],05-18-2020
118,FL- FORT LAUDERDALE,89.16,793,703,950,82.16,101.38,793 [703 - 950],89.16% [82.16% - 101.38%],05-18-2020
